Author,HIndex
James W. Davis,1
Yingtian Zou,1
Fahim Mannan,1
Luxin Yan,1
Q. Wu,1
Muhammed Kocabas,1
Daniel Gehrig,1
F. Cervenansky,1
Xin Yang,1
Mahendra Khened,1
V. Kollerathu,1
Fujun Luan,1
Youssouf Chherawala,1
Gernot Riegler,1
Cem Keskin,1
Jonathan Taylor,1
M. Noshad,1
Qiuping Jiang,1
N. Cheema,1
T. Müller,1
Menglei Chai,1
Xinpeng Liu,1
Rajmund Nagy,1
Wei Zhai,1
Junfu Pu,1
Youngdong Kim,1
Chaoshun Xu,1
Chun-yu Wang,1
Ruiqin Xiong,1
Siqin Li,1
Yu Zhang,1
Erik Wijmans,1
Andra Acsintoae,1
Paul Sumedrea,1
Tianyue Zheng,1
Shiwei Zhang,1
Zhun Zhong,1
T. Harada,1
Alahari Karteek,1
Y. Matsushita,1
Bohan Zhuang,1
Damian Borth,1
J. Tourneret,1
S. Fan,1
Liang Chen,1
A. Jagota,1
Manpreet Singh,1
Afroz Mohiuddin,1
Shikhar Sharma,1
Manoj Plakal,1
Jiao Luo,1
George Cazenavette,1
Mathew Monfort,1
P. Hermosilla,1
Yinan Yu,1
Yichen Zhu,1
Yihao Chen,1
Dasol Hwang,1
Anurag Arnab,1
Mingjie Sun,1
Kun He,1
Rongpeng Li,1
Yu-Xiong Wang,1
Fei Sun,1
Arun Mallya,1
Keke Cai,1
Zhengyi Wang,1
Shuo Wang,1
Kevis-Kokitsi Maninis,1
H. Feldman,1
J. Gemmeke,1
Jonathan Le Roux,1
M. Kang,1
J. Sacramento,1
J. Aneja,1
D. Cremers,1
Jianhang Huang,1
Mahdyar Ravanbakhsh,1
P. Radivojac,1
Chanju Kim,1
Qi Zhao,1
Kang Li,1
Tian Li,1
G. Sapiro,1
Kaustav Kundu,1
Ellyn Ayton,1
Courtney Corley,1
Abhaya Jha,1
K. Hua,1
Karl Kumbier,1
Runhao Zeng,1
Yuqing Song,1
D. Braun,1
N. El-Hachem,1
Y. Yoshida,1
Nurdan Kuru,1
Hao Zhang,1
M. Trivedi,1
A. Tomkins,1
B. Saha,1
Evimaria Terzi,1
Zaiqiao Meng,1
T. Le,1
E. Bakshy,1
Shuguang Han,1
O. Zolotareva,1
Amr Ahmed,1
Anthony Wirth,1
Chao Ma,1
Zhengping Che,1
Yanfang Ye,1
Zhihui Li,1
Qiaozhu Mei,1
Shenghuo Zhu,1
Hongzhi Shi,1
R. Salakhutdinov,1
Le Song,1
Meng Wang,1
Shuicheng Yan,1
Yongjun Wang,1
Chenxin Xu,1
Dazhong Shen,1
Huan Liu,1
Ziyue Qiao,1
Kevin Tschirhart,1
Jinhyung Kim,1
Margot J. Taylor,1
Cheng Lu,1
Tianxing Fan,1
Sandesh Shetty,1
Kyungmin Jo,1
Feiying Ma,1
Yi Zhang,1
Du-sik Park,1
Tom F. H. Runia,1
S. D. Rajasekaran,1
Zhaojin Huang,1
Bokui (William) Shen,1
Abrar H. Abdulnabi,1
Seoyoung Ahn,1
Y. Freer,1
T. Willig,1
Ze Ma,1
Huan Yan,1
J. Csernansky,1
C. Li,1
Haiting Lin,1
F. E. Tay,1
Stanislas Chambon,1
A. Sterr,1
M. Galtier,1
Kai Fu,1
Adrien Treuille,1
Liu Fan,1
M. Abidi,1
Hongyang Tang,1
R. Pal,1
Esther Williams,1
Cheng Zhan,1
Han-Shin Jo,1
Julien N. P. Martel,1
Xinyue Liu,1
Xudong Hou,1
Guojie Li,1
P. Ogunbona,1
Yang He,1
Harkirat Singh Behl,1
L. Mirny,1
Zhihui Lai,1
Niklas Lavesson,1
R. Chang,1
Ruichi Yu,1
Shobeir Fakhraei,1
Wei Jing,1
K. Vahi,1
Vahid Behbood,1
J. Hester,1
Y. Hoshida,1
A. Georghiades,1
XinHua Zhang,1
Xiao-Xin Li,1
Zifang Guo,1
Cong Liu,1
Chenhui Zhang,1
Lequan Yu,1
W. Senn,1
Martin Danelljan,1
V. Škerk,1
Hongchen Tan,1
Xianxu Hou,1
Samuel Carton,1
Thanh Nguyen-Duc,1
Dongming Zhang,1
Lusi Li,1
Hekai Zhang,1
Jingying Yang,1
Saif Khan,1
B. Solenthaler,1
Y. Liu,1
Shuqin Wang,1
Cheng Zhou,1
Minh Vo,1
G. Favier,1
Xiaodao Chen,1
Xing-er Liu,1
C. Févotte,1
Yung-Yu Chuang,1
Yijun Liu,1
Weichen Ke,1
Raunak Shrestha,1
K. Ang,1
J. Hutton,1
Qi Zhu,1
C. Riva,1
Qian Hu,1
C. Yuan,1
Xingang Pan,1
Zheng Qin,1
Fanyi Xiao,1
P. Abry,1
Bahjat Kawar,1
J. Tenenbaum,1
Hongjun Wang,1
Jialiang Li,1
Yunhe Pan,1
Yin Zhang,1
Y. Yoshiyasu,1
Gangshan Wu,1
Guihai Chen,1
M. Sapino,1
Dong Deng,1
Ling Shao,1
Uwe Röhm,1
P. Wang,1
Prateek Mittal,1
Xuanhua Shi,1
Mingjie Tang,1
Yongyang Yu,1
Xuemin Lin,1
D. Zeinalipour-Yazti,1
T. Rabl,1
J. Pei,1
Jiangsen Pei,1
Hengshu Zhu,1
Robert Underwood,1
Shiliang Pu,1
Guodong Chen,1
M. Franklin,1
K. Aberer,1
Lei Zou,1
Zhen Peng,1
W. Liu,1
Mingkui Tan,1
T. Pedersen,1
Jianhua Feng,1
John Paparrizos,1
Yiding Liu,1
Tim Kraska,1
P. Merialdo,1
Riccardo Mancini,1
Binbin Hu,1
Xiang Cheng,1
Chaoyun Zhang,1
Mi Zhang,1
Shigang Chen,1
Kaixiong Zhou,1
D. Song,1
Jelle Hellings,1
Mohammad Sadoghi,1
Tyler Derr,1
Gao Cong,1
N. Ho,1
Sian Jin,1
Bo Tang,1
Qi Li,1
S. Madden,1
Jiaxin Jiang,1
B. Dilkina,1
C. Jensen,1
Kijung Shin,1
E. Rahm,1
Hemant Saxena,1
K. Leung,1
Jiannan Wang,1
Hong Cheng,1
Amr Ebaid,1
Chunbin Lin,1
Chengfei Liu,1
Chen Ye,1
Senjuti Basu Roy,1
Qingchao Cai,1
Yuqiu Qian,1
A. Pfadler,1
Yan Wang,1
D. Papadias,1
F. Bonchi,1
Kai Yang,1
Çağatay Demiralp,1
Avishek Ghosh,1
Daniel J. Liebling,1
Hongning Wang,1
Stefano Soatto,1
Manling Li,1
Furu Wei,1
